PNUM,2,3,4,5,6,7,8,9,10,11
5,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1
9,4,4,4,4,4,1,1,1,1,1
10,4,4,4,4,4,4,4,4,1,1
11,4,4,4,4,4,4,4,4,4,4
12,1,1,2,2,2,1,1,1,1,1
13,2,2,2,2,2,1,1,1,1,1
14,2,2,2,2,2,1,1,1,1,1
15,2,2,2,2,2,1,1,1,1,1
16,2,2,2,2,2,1,1,1,1,1
17,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2,2
A-2,1,1,1,4,4,1,1,1,1,1
A-3,1,1,1,4,4,1,1,1,1,1
A-4,1,1,4,4,4,1,1,1,1,1
A-5,1,1,4,4,4,1,1,1,1,1
A-6,1,4,4,4,4,1,1,1,1,1
A-7,2,5,5,5,5,2,2,1,1,1
A-8,2,2,2,2,2,2,2,2,2,2
A-9,2,2,2,2,2,2,2,2,2,2
A-10,2,2,2,2,2,2,2,2,2,2
1 | 1,3,3,3,3,3,3,3,3,3,3
2 | 2,3,3,3,3,3,3,1,1,1,1
3 | 3,3,3,3,3,3,3,1,1,1,1
4 | 4,1,1,1,3,3,1,1,1,1,1
5 | 5,4,4,4,4,4,4,4,4,1,1
6 | 6,3,3,3,3,3,1,1,1,1,1
7 | 7,3,3,3,3,3,3,1,1,1,1
8 | 8,3,3,3,3,3,3,3,3,3,3
9 | 9,3,3,3,3,3,2,3,3,2,2
10 | 10,2,2,2,2,2,2,2,2,2,2
A | A,3,3,3,3,3,3,3,3,3,3
